Word,Lemma,Form
Word,Lemma,Form
Сталий,сталий,"adj:m:v_kly
adj:m:v_naz
adj:m:v_zna:rinanim"
розвиток,розвиток,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
Глобальні,глобальний,"adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
цілі,"ціль



цілий","noun:inanim:f:v_dav
noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna
adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
ООН,ООН,"noun:inanim:f:v_dav:nv:abbr:prop
noun:inanim:f:v_naz:nv:abbr:prop
noun:inanim:f:v_oru:nv:abbr:prop
noun:inanim:f:v_rod:nv:abbr:prop
noun:inanim:f:v_zna:nv:abbr:prop"
",",-,-
Організація,організація,noun:inanim:f:v_naz
Об'єднаних,об'єднаний,"adj:p:v_rod:&adjp:pasv:perf
adj:p:v_zna:ranim:&adjp:pasv:perf"
Націй,нація,noun:inanim:p:v_rod
",",-,-
прийняли,прийняти,verb:perf:past:p
17,17,number
цілей,ціль,noun:inanim:p:v_rod
",",-,-
2015,2015,number
рік,рік,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
Чому,що,noun:inanim:n:v_dav:&pron:int:rel
ерез,через,prep
глобальні,глобальний,"adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
проблеми,проблема,"noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
людства,людство,noun:inanim:n:v_rod
",",-,-
і,і,"conj:coord
part"
це,"це


цей","noun:inanim:n:v_naz:&pron:dem
noun:inanim:n:v_zna:&pron:dem
part
adj:n:v_naz:&pron:dem
adj:n:v_zna:&pron:dem"
:,-,-
-,-,-
Кліматична,кліматичний,"adj:f:v_kly
adj:f:v_naz"
криза,криза,noun:inanim:f:v_naz
-,-,-
Нерівність,"нерівність

Нерівність","noun:inanim:f:v_naz
noun:inanim:f:v_zna
<prop_noun>"
-,,-
Насилля,"насилля




Насилля","noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna
noun:inanim:p:v_naz
noun:inanim:p:v_zna
</prop_noun>
<prop_noun>"
-,,-
Загроза,"загроза
Загроза","noun:inanim:f:v_naz
</prop_noun>"
здоров'ю,здоров'я,noun:inanim:n:v_dav
-,-,-
Бідність,"бідність

Бідність","noun:inanim:f:v_naz
noun:inanim:f:v_zna
<prop_noun>"
-,,-
Порушення,"порушення




Порушення","noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna
noun:inanim:p:v_naz
noun:inanim:p:v_zna
</prop_noun>"
прав,право,noun:inanim:p:v_rod
людини,людина,"noun:anim:f:v_rod
noun:anim:p:v_kly
noun:anim:p:v_naz
noun:anim:p:v_zna"
-,-,-
Скорочення,скорочення,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
природних,природний,"adj:p:v_rod:compb
adj:p:v_zna:ranim:compb"
ресурсів,ресурс,noun:inanim:p:v_rod
Кожна,кожний,"adj:f:v_naz:&pron:gen
noun:anim:f:v_kly:&pron:gen
noun:anim:f:v_naz:&pron:gen"
країна,країна,noun:inanim:f:v_naz
має,мати,verb:imperf:pres:s:3
проблеми,проблема,"noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Тому,"Том
Тома
тому

той

те","noun:anim:m:v_dav:prop:fname
noun:anim:m:v_zna:prop:fname
adv
conj:subord
adj:m:v_dav:&pron:dem
adj:n:v_dav:&pron:dem
noun:inanim:n:v_dav:&pron:dem"
глобальна,глобальний,"adj:f:v_kly:compb
adj:f:v_naz:compb"
співпраця,співпраця,noun:inanim:f:v_naz
важлива,важливий,"adj:f:v_kly:compb
adj:f:v_naz:compb"
Глобальні,глобальний,"adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
цілі,"ціль



цілий","noun:inanim:f:v_dav
noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna
adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
діляться,ділитися,verb:rev:imperf:pres:p:3
на,на,prep
3,3,number
сфери,сфера,"noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
:,-,-
економічна,економічний,"adj:f:v_kly
adj:f:v_naz"
",",-,-
